Track,Artist
Vino nuevo,Hillsong
Hay poder,Generación 12
El himno,Planetshakers
Viento fresco,Hillsong
Santo Espíritu,Jesus Culture
Que sea la luz,Hillsong
Por su gracia,Hillsong
Despierta mi alma,Hillsong
Lo harás otra vez,Elevation Worship
Con el cielo,Hillsong
Como en el cielo,Elevation Worship
Primer Amor,Upperroom
Deseo eterno,Toma tu lugar
Somos tu iglesia,Generación 12
Mover tu corazón,Upperroom
Creo en ti,Julio Melgar
Abres camino,Rojo
Jireh,Maverick City Music
Construiré mi vida,Evan Craft
No hay otro nombre,Hillsong
De gracia en gracia,Hillsong
Vuelvo a casa,Generación 12
Nos rendimos de nuevo,Hillsong
Suelto,Sarai Rivera
Ver la victoria,Hillsong
Yeshua,Generación 12
Entre las llamas,Hillsong
Todo cambió,Maverick City Music
El eco de su voz,Hillsong
Alabaré al Señor,Hillsong
Océanos,Hillsong
Cielo Abierto,Hillsong
No hay lugar más alto,Christine D'clario
Rey de reyes,Hillsong
Hermoso Nombre,Hillsong
De tumbas a jardines,Hillsong
Yo te amo,Upperroom
Encuentrame otra vez,Elevation Worship
A ti me rindo,Hillsong
Fiesta en el desierto,Montesanto
Júbilo,Miel San Marcos
Escondite seguro,Su presencia
Por siempre te alabaré,Planetshakers
Ven aquí,Planetshakers
Vivo estás,Hillsong
Libre soy,Evan Craft
Más allá de tu ventana,Hillsong
Glorioso día,Passion
Vivo estoy,Hillsong
Vi la luz,Hillsong
Echo,Hillsong
Nadie,Maverick City Music
Danzando,Getaway Worship
Nadie como tú,Maverick City Music
Algo nuevo empezó,Bani Muñoz
Alegras mis días,Su Presencia
Let go,Hillsong
Echoes,Hillsong
Vives en mi,Hillsong
Socorro,Un Corazón
Su Venida,Maverick City Music
Mi Gozo,Barak
Cristo eres hermoso,Toma tu lugar
